object_id,seq,lib,desc,x,y,designator,comment,manufacturer,mpn,pin_count
2757,2758,1029c3af85768c4190bb7ad29bc67b5,"SMD Chip Resistor, Thin Film, 4.7KO, 100 V, 0805 [2012 Metric], 100 mW, 0.1%, RN73 Series",1220,670,R?,4.7kR,,,2
2518,2519,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,790,680,R?,10kR,,,2
909,910,1029c3af85768c4190bb7ad29bc67b5,Thin Film Chip Resistors Automotive Grade 5.1kO 1% 50ppm/°C 0603,250,700,R?,5.1kR,,,2
961,962,1029c3af85768c4190bb7ad29bc67b5,1MO ±5% 0.125W 0805 Thick Film Chip Resistor AEC-Q200 compliant,500,700,R?,1MR,,,2
3011,3012,b4654b650e69147ec39a6b967a45e02,CAP CER SMD 0603 .47UF 5% X7R 16,1120,700,C?,470nF,,,2
2727,2728,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,1220,710,R?,10kR,,,2
2082,2083,b4654b650e69147ec39a6b967a45e02,"Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 22uF, X5R, 15%, 20%, 16V",670,720,C?,22uF,,,2
2286,2287,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,790,720,R?,10kR,,,2
2126,2127,CAP-NP-2,"Chip Capacitor, 100 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel",690,750,C?,100nF,,,2
3064,3065,CAP,,1120,750,C?,10nF,,,4
2630,2631,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,1220,750,R?,10kR,,,2
2172,2173,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,790,760,R?,10kR,,,2
528,529,USBLC6-2SC6,Integrated Circuit,290,770,IC?,USBLC6-2SC6,STMicroelectronics,USBLC6-2SC6,6
2985,2986,02cd4be3c70576c341d710602a673aa,Multi-Layer Ceramic Capacitor 1uF 25V X7R ±10% 0603 Paper T/R,1100,790,C?,1uF,,,2
2600,2601,1029c3af85768c4190bb7ad29bc67b5,RES 10kO 5.00% 0.2W 0603,1220,790,R?,10kR,,,2
2942,2943,CAP-NP-2,"Chip Capacitor, 100 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel",1120,820,C?,100nF,,,2
